ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_dessau	Dessau	Anhalt	East Francia	Holy Roman Empire	Dessau	exact_label	Q487070	Dessau	city in Saxony-Anhalt, Germany; since 2007 district of Dessau-Roßlau	Q487070; Q21450485; Q3828; Q266559; Q21493356	Dessau; Dessau; Dessau-Roßlau; Dessau Central Station; Dessauer	http://www.wikidata.org/entity/Q487070; http://www.wikidata.org/entity/Q21450485; http://www.wikidata.org/entity/Q3828; http://www.wikidata.org/entity/Q266559; http://www.wikidata.org/entity/Q21493356	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_devon	Devon	Cornwall	England	Britannia	Devon	exact_label	Q67393660	Devon	historic county of England	Q67393660; Q2675597; Q237375; Q16869542; Q23156	Devon; Devon; Devon; Devon; Devon	http://www.wikidata.org/entity/Q67393660; http://www.wikidata.org/entity/Q2675597; http://www.wikidata.org/entity/Q237375; http://www.wikidata.org/entity/Q16869542; http://www.wikidata.org/entity/Q23156	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dijon	Dijon	Burgundy	France	Francia	Dijon	exact_label	Q7003	Dijon	commune in Côte-d'Or, France	Q7003; Q109297503; Q105201645; Q503317; Q121422958	Dijon; Dijon; Dijon; Dijon FCO; Dijon	http://www.wikidata.org/entity/Q7003; http://www.wikidata.org/entity/Q109297503; http://www.wikidata.org/entity/Q105201645; http://www.wikidata.org/entity/Q503317; http://www.wikidata.org/entity/Q121422958	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_ditmarschen	Dithmarschen	Holstein	East Francia	Holy Roman Empire	Dithmarschen	fuzzy_label	Q7868510	USS Conecuh	1937 Dithmarschen-class supply ship	Q7868510; Q2947; Q1230273; Q149861; Q107068324	USS Conecuh; Dithmarschen; Dithmarschen; Dithmarschen; A1409 Dithmarschen	http://www.wikidata.org/entity/Q7868510; http://www.wikidata.org/entity/Q2947; http://www.wikidata.org/entity/Q1230273; http://www.wikidata.org/entity/Q149861; http://www.wikidata.org/entity/Q107068324	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dobrzynska	Dobrzyń	Kuyavia	Poland	West-Slavia	Dobrzyń	exact_label	Q115267059	Dobrzyń	family name	Q115267059; Q995806; Q9208396; Q780565; Q828138	Dobrzyń; Dobrzyń nad Wisłą; Dobrzyń; Dobrzyń; Dobrzyń	http://www.wikidata.org/entity/Q115267059; http://www.wikidata.org/entity/Q995806; http://www.wikidata.org/entity/Q9208396; http://www.wikidata.org/entity/Q780565; http://www.wikidata.org/entity/Q828138	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dokkum	Dokkum	Frisia	Frisia	Holy Roman Empire	Dokkum	exact_label	Q41976	Dokkum	city in Noardeast-Fryslân, Netherlands	Q41976; Q36851503; Q134572024; Q13135318; Q2056410	Dokkum; Dokkum; electoral district Dokkum; Dokkumer vlaggen centrale; Dokkumer Nieuwe Zijlen	http://www.wikidata.org/entity/Q41976; http://www.wikidata.org/entity/Q36851503; http://www.wikidata.org/entity/Q134572024; http://www.wikidata.org/entity/Q13135318; http://www.wikidata.org/entity/Q2056410	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dole	Dole	Upper Burgundy	Burgundy	Francia	Dole	exact_label	Q205586	Dole	commune in Jura, France	Q205586; Q29358597; Q492747; Q14590199; Q94749181	Dole; Dole; Dole plc; Doležal; Dole	http://www.wikidata.org/entity/Q205586; http://www.wikidata.org/entity/Q29358597; http://www.wikidata.org/entity/Q492747; http://www.wikidata.org/entity/Q14590199; http://www.wikidata.org/entity/Q94749181	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_donjikraji	Donji Kraji	Upper Bosnia	Croatia	Byzantine Empire	Donji Kraji	exact_label	Q5296194	Donji Kraji	zemlja of medieval Bosnian state, historical region of Bosnia and Herzegovina	Q5296194	Donji Kraji	http://www.wikidata.org/entity/Q5296194	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dorohoi	Dorohoi	Bukovina	Moldavia	Carpathia	Dorohoi	exact_label	Q756587	Dorohoi	city in Botoșani County, Romania	Q756587; Q16898132; Q107441697; Q134125306; Q5298169	Dorohoi; Dorohoi; Dorohoi; Dorohoi; Dorohoi County	http://www.wikidata.org/entity/Q756587; http://www.wikidata.org/entity/Q16898132; http://www.wikidata.org/entity/Q107441697; http://www.wikidata.org/entity/Q134125306; http://www.wikidata.org/entity/Q5298169	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dorohychyn	Dorohychyn	Volhynia	Galicia-Volhynia	West-Slavia	Dorohychyn	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dorset	Dorset	Wessex	England	Britannia	Dorset	exact_label	Q67479793	Dorset	historic county of England, United Kingdom	Q67479793; Q23159; Q55231693; Q21694711; Q386645	Dorset; Dorset; Dorset; Dorset; Dorset	http://www.wikidata.org/entity/Q67479793; http://www.wikidata.org/entity/Q23159; http://www.wikidata.org/entity/Q55231693; http://www.wikidata.org/entity/Q21694711; http://www.wikidata.org/entity/Q386645	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dortmund	Dortmund	Lower Lotharingia	Lotharingia	Holy Roman Empire	Dortmund	exact_label	Q1295	Dortmund	city in North Rhine-Westphalia, Germany	Q1295; Q41420; Q15806486; Q83346824; Q685557	Dortmund; Borussia Dortmund; Dortmund; Dortmund; Technical University of Dortmund	http://www.wikidata.org/entity/Q1295; http://www.wikidata.org/entity/Q41420; http://www.wikidata.org/entity/Q15806486; http://www.wikidata.org/entity/Q83346824; http://www.wikidata.org/entity/Q685557	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_doudleby	Doudleby	Bohemia	Bohemia	Holy Roman Empire	Doudleby	exact_label	Q56414150	Doudleby		Q56414150; Q1251674; Q110390801; Q155826; Q110644988	Doudleby; Doudleby; Doudleby; 6060 Doudleby; Doudleby	http://www.wikidata.org/entity/Q56414150; http://www.wikidata.org/entity/Q1251674; http://www.wikidata.org/entity/Q110390801; http://www.wikidata.org/entity/Q155826; http://www.wikidata.org/entity/Q110644988	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dresden	Dresden	Meissen	East Francia	Holy Roman Empire	Dresden	exact_label	Q1731	Dresden	capital city of the Free State of Saxony in Germany	Q1731; Q206353; Q704354; Q158158; Q4890	Dresden; Dresden; Dresden Central Station; TU Dresden; Gemäldegalerie Alte Meister	http://www.wikidata.org/entity/Q1731; http://www.wikidata.org/entity/Q206353; http://www.wikidata.org/entity/Q704354; http://www.wikidata.org/entity/Q158158; http://www.wikidata.org/entity/Q4890	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dublin	Dublin	Meath	Ireland	Britannia	Dublin	exact_label	Q1761	Dublin	capital and largest city of Ireland	Q1761; Q173500; Q16865980; Q2073605; Q1202897	Dublin; County Dublin; Dublin; Dublin; Dublin City University	http://www.wikidata.org/entity/Q1761; http://www.wikidata.org/entity/Q173500; http://www.wikidata.org/entity/Q16865980; http://www.wikidata.org/entity/Q2073605; http://www.wikidata.org/entity/Q1202897	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dubrovytsia	Dubrovytsia	Turov	Ruthenia	Russia	Dubrovytsia	exact_label	Q205765	Dubrovytsia	city in Ukraine	Q205765; Q2992431; Q16698557; Q4169681; Q12143453	Dubrovytsia; Dubrovytsia Raion; Dubrovytsia; Dubrovytsia; flag of Dubrovytsia Raion	http://www.wikidata.org/entity/Q205765; http://www.wikidata.org/entity/Q2992431; http://www.wikidata.org/entity/Q16698557; http://www.wikidata.org/entity/Q4169681; http://www.wikidata.org/entity/Q12143453	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_duklja	Duklja	Duklja	Serbia	Byzantine Empire	Duklja	exact_label	Q1252942	Duklja	Medieval principality in Eastern/Southern Europe	Q1252942; Q252273; Q11823875; Q3512517; Q2822403	Duklja; Doclea; Dukljanin; Dukljan; Doclean Academy of Sciences and Arts	http://www.wikidata.org/entity/Q1252942; http://www.wikidata.org/entity/Q252273; http://www.wikidata.org/entity/Q11823875; http://www.wikidata.org/entity/Q3512517; http://www.wikidata.org/entity/Q2822403	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dunbar	Dunbar	Lothian	Scotland	Britannia	Dunbar	exact_label	Q21452734	Dunbar	family name	Q21452734; Q1002133; Q21396414; Q68815356; Q5632756	Dunbar; Dunbar; Dunbar; Dunbar; HMS Henry	http://www.wikidata.org/entity/Q21452734; http://www.wikidata.org/entity/Q1002133; http://www.wikidata.org/entity/Q21396414; http://www.wikidata.org/entity/Q68815356; http://www.wikidata.org/entity/Q5632756	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_durham	Durham	Northumbria	England	Britannia	Durham	exact_label	Q49229	Durham	county seat of Durham County, North Carolina, United States	Q49229; Q179815; Q2003309; Q753859; Q599922	Durham; Durham; Durham; Durham; Durham	http://www.wikidata.org/entity/Q49229; http://www.wikidata.org/entity/Q179815; http://www.wikidata.org/entity/Q2003309; http://www.wikidata.org/entity/Q753859; http://www.wikidata.org/entity/Q599922	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_durne	Dürn	West Franconia	East Francia	Holy Roman Empire	Dürn	fuzzy_label	Q37469587	Durn	family name	Q37469587; Q67220; Q22800; Q544097; Q16425839	Durn; Dürnten; Durningen; Durnes; Durnești	http://www.wikidata.org/entity/Q37469587; http://www.wikidata.org/entity/Q67220; http://www.wikidata.org/entity/Q22800; http://www.wikidata.org/entity/Q544097; http://www.wikidata.org/entity/Q16425839	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dvin	Dvin	Greater Armenia	Armenia	Byzantine Empire	Dvin	fuzzy_label	Q80021	Daugavpils	state city in south-eastern Latvia	Q80021; Q429059; Q1774051; Q3716788; Q2573527	Daugavpils; Dvin; Dvin; Dvinosauria; Dvinia	http://www.wikidata.org/entity/Q80021; http://www.wikidata.org/entity/Q429059; http://www.wikidata.org/entity/Q1774051; http://www.wikidata.org/entity/Q3716788; http://www.wikidata.org/entity/Q2573527	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_pembrokeshire	Dyfed	Deheubarth	Wales	Britannia	Dyfed	exact_label	Q21469886	Dyfed	male given name	Q21469886; Q956451; Q1067991; Q5415524; Q13128003	Dyfed; Kingdom of Dyfed; Dyfed; Evan Rees; Dyfed Edwards	http://www.wikidata.org/entity/Q21469886; http://www.wikidata.org/entity/Q956451; http://www.wikidata.org/entity/Q1067991; http://www.wikidata.org/entity/Q5415524; http://www.wikidata.org/entity/Q13128003	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_dyrrachion	Dyrrachion	Dyrrachion	Epirus	Byzantine Empire	Dyrrachion	fuzzy_label	Q83285	Durrës	city in Albania	Q83285; Q3567546; Q168641	Durrës; Epidamnos; Dyrrhachium	http://www.wikidata.org/entity/Q83285; http://www.wikidata.org/entity/Q3567546; http://www.wikidata.org/entity/Q168641	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_east_kiilt	East Kiilt	Guoládat	Sápmi	Scandinavia	East Kiilt	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_east_riding	East Riding	York	England	Britannia	East Riding	fuzzy_label	Q2194352	East Riding of Yorkshire	one of the historic subdivisions of Yorkshire	Q2194352; Q21695028; Q23088; Q16989282; Q5329262	East Riding of Yorkshire; East Riding of Yorkshire; East Riding of Yorkshire; East Riding of Yorkshire Council; East Riding of Yorkshire	http://www.wikidata.org/entity/Q2194352; http://www.wikidata.org/entity/Q21695028; http://www.wikidata.org/entity/Q23088; http://www.wikidata.org/entity/Q16989282; http://www.wikidata.org/entity/Q5329262	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_eichstadt	Eichstätt	Nordgau	Bavaria	Holy Roman Empire	Eichstätt	exact_label	Q252772	Eichstätt	town in Bavaria, Germany	Q252772; Q10491; Q105636948; Q12692536; Q15807481	Eichstätt; Eichstätt district; Eichstätt; Eichstatt airfield; Eichstädt	http://www.wikidata.org/entity/Q252772; http://www.wikidata.org/entity/Q10491; http://www.wikidata.org/entity/Q105636948; http://www.wikidata.org/entity/Q12692536; http://www.wikidata.org/entity/Q15807481	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_raniriki	Elfinn	Víkin	Norway	Scandinavia	Elfinn	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_elvas	Elvas	Beja	Badajoz	Hispania	Elvas	exact_label	Q243849	Elvas	municipality in Portugal	Q243849; Q2378831; Q5367992; Q15110328; Q15375841	Elvas; Elvaston; Elvasia; Elvas; Elvasia elvasioides	http://www.wikidata.org/entity/Q243849; http://www.wikidata.org/entity/Q2378831; http://www.wikidata.org/entity/Q5367992; http://www.wikidata.org/entity/Q15110328; http://www.wikidata.org/entity/Q15375841	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_ennis	Ennis	Munster	Ireland	Britannia	Ennis	exact_label	Q209128	Ennis	town in County Clare, Ireland	Q209128; Q16869831; Q56681649; Q982629; Q964895	Ennis; Ennis; Ennis; Ennis; Ennis	http://www.wikidata.org/entity/Q209128; http://www.wikidata.org/entity/Q16869831; http://www.wikidata.org/entity/Q56681649; http://www.wikidata.org/entity/Q982629; http://www.wikidata.org/entity/Q964895	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
