ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_inari	Inari	Giemajohka	Q755702	Inari	municipality in the region of Lapland in Finland	Q856076	1876				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ingolstadt	Ingolstadt	Bavaria	Q3004	Ingolstadt	city in Bavaria, Germany	Q1549591; Q1187811; Q253030; Q42744322; Q85631896; Q106517174	1200				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_inner_hebrides	Inner Hebrides	Isles	Q81052	Inner Hebrides	archipelago off the west coast of mainland Scotland	Q1402592; Q33837					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_innsbruck	Innsbruck	Tyrol	Q1735	Innsbruck	capital of the state of Tyrol, Austria	Q515; Q667509; Q13539802; Q262882; Q1549591; Q871419	1234				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_inverness	Inverness	Moray	Q160493	Inverness	city in the Highlands of Scotland, United Kingdom	Q515; Q6489113					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ionia	Ionia	Ephesos	Q620874	Ionia	historic region in western Asia Minor (modern-day Turkey)	Q1620908					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_isauria	Isauria	Anatolia	Q6079031	Isauria	genus of insects	Q16521					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ile_de_france	Isle de France	Valois	Q12060804	Isle de France	former name for Mauritius and surrounding colonies	Q82799; Q133156	1715	1810			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_isle_of_man	Isle of Man	Mann	Q9676	Isle of Man	historic nation and a self-governing British Crown dependency	Q185086	1765				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_issoudun	Issoudun	Berry	Q210772	Issoudun	commune in Indre, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_andujar	Jaén	Cordoba	Q15681	Jaén	municipality in Spain	Q2074737	825				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_jaligny	Jaligny	Bourbon	Q325549	Jaligny-sur-Besbre	commune in Allier, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_jamtfir	Jamtaland	Jamtaland	Q211661	Jämtland	historical province in Sweden	Q193556					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
