title_id	name	rank	exists	parentage_count	review_priority	notes
title-q10295972	Hunnic Empire	Empire	316..484	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q1048340	Albanian Kingdom	Kingdom	1928..1939	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q1048918	Kingdom of the Suebi	Kingdom	411..585	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q105092	Kingdom of Mercia	Kingdom	527..918	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q105313	Kingdom of Wessex	Kingdom	519..927	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q106577	Neustria	Kingdom	511..977	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q107299	Kingdom of Northumbria	Kingdom	653..954	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q110888	Kingdom of Essex	Kingdom	527..825	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q116080	Polish Underground State	Empire	1939..1945	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q11750128	Kingdom of Poland	Kingdom	1830..1831	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q1209822	Kingdom of Kakheti	Kingdom	1465..1762	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q1241847	Judicate of Arborea	Kingdom	800..1420	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q12544	Byzantine Empire	Empire	395..1453	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q12548	Holy Roman Empire	Empire	962..1806	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q12560	Ottoman Empire	Empire	1302..1922	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q12714608	Fascist Romania	Kingdom	1937..1938	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q131964	Austrian Empire	Empire	1804..1867	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q1333032	Elmet	Kingdom	500..627	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q13590051	Kingdom of the Burgundians	Kingdom	411..534	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q141472	Golden Horde	Empire	1242..1502	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q1470101	Kingdom of Hungary (1000-1301)	Kingdom	1000..1301	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q147909	Kingdom of Bulgaria	Kingdom	1908..1946	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q150981	North German Confederation	Empire	1867..1870	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q151624	German Confederation	Empire	1815..1866	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q15238138	Kingdom of Spain	Kingdom	1814..1833	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q154667	Kingdom of Georgia	Kingdom	1008..1466	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q160307	Fatimid Egyptian Caliphate	Empire	909..1171	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q160440	Crimean Khanate	Empire	1441..1783	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q16056854	Kingdom of Hungary	Kingdom	1301..1526	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q16084290	Illyrian kingdom	Kingdom	-700..-135	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q161885	Kingdom of Great Britain	Kingdom	1707..1801	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q1649871	Kingdom of Poland	Kingdom	1386..1569	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q165154	Kingdom of Sardinia	Kingdom	1720..1861	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q1656775	Kingdom of Lithuania	Kingdom	1251..1263	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q170174	Papal States	TheocraticState	754..1870	0	medium_parentage_review	Find reviewed empire, union, or successor-context source.
title-q171740	Caliphate of Cordoba	Empire	929..1031	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q172107	Polish-Lithuanian Commonwealth	Crown	1569..1795	0	medium_parentage_review	Find reviewed empire, union, or successor-context source.
title-q172579	Kingdom of Italy	Kingdom	1861..1946	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q173082	Dacia	Kingdom	-60..106	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q178897	Latin Empire	Empire	1204..1261	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q1789596	Croatia in personal union with Hungary	Kingdom	1102..1526	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q179023	French colonial empire	Empire	1534..1980	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q179876	Kingdom of England	Kingdom	927..1707	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
