skip_fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	candidate_parent_id	candidate_parent_name	candidate_exists	overlap_years	bridge_fact_id	review_priority	notes
fact-q1352878-parent-q172107	title-q1352878	Duchy of Livonia	Duchy	Kingdom	title-q172107	Polish-Lithuanian Commonwealth	Crown	1569..1621	title-q171348	Crown of the Kingdom of Poland	1386..1795	53	fact-q171348-parent-q172107	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q155019-parent-q12548	title-q155019	Duchy of Lorraine	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1766	title-q838931	Kingdom of Italy	961..1806	805	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2719360-parent-q12548	title-q2719360	Duchy of Luxembourg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1353..1795	title-q42585	Kingdom of Bohemia	1198..1918	443	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q766501-parent-q12548	title-q766501	Duchy of Mantua	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1530..1797	title-q42585	Kingdom of Bohemia	1198..1918	268	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q933592-parent-q12548	title-q933592	Duchy of Massa and Carrara	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1473..1806	title-q42585	Kingdom of Bohemia	1198..1918	334	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q11024667-parent-q12548	title-q11024667	Duchy of Mecklenburg-Schwerin	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1701..1806	title-q42585	Kingdom of Bohemia	1198..1918	106	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q153529-parent-q12548	title-q153529	Duchy of Milan	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1395..1797	title-q42585	Kingdom of Bohemia	1198..1918	403	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q1615455-parent-q12548	title-q1615455	Duchy of Mirandola	County	Duchy	title-q12548	Holy Roman Empire	Empire	1310..1710	title-q686965	Anhalt-Bernburg	1252..1863	401	fact-q686965-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q252580-parent-q12548	title-q252580	Duchy of Modena and Reggio	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1452..1796	title-q42585	Kingdom of Bohemia	1198..1918	345	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q836680-parent-q151624	title-q836680	Duchy of Nassau	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	title-q154195	Kingdom of Bavaria	1806..1918	52	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q165040-parent-q12548	title-q165040	Duchy of Parma and Piacenza	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1748..1801	title-q42585	Kingdom of Bohemia	1198..1918	54	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q696640-parent-q12548	title-q696640	Duchy of Pomerania	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1121..1637	title-q838931	Kingdom of Italy	961..1806	517	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q661340-parent-q28513	title-q661340	Duchy of Salzburg	Duchy	Kingdom	title-q28513	Austria-Hungary	Empire	1867..1918	title-q42585	Kingdom of Bohemia	1198..1918	52	fact-q42585-parent-q28513	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q426025-parent-q12548	title-q426025	Duchy of Savoy	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1416..1806	title-q42585	Kingdom of Bohemia	1198..1918	391	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157710-parent-q12548	title-q157710	Duchy of Saxe-Meiningen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1675..1806	title-q42585	Kingdom of Bohemia	1198..1918	132	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157710-parent-q151624	title-q157710	Duchy of Saxe-Meiningen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	title-q154195	Kingdom of Bavaria	1806..1918	52	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157710-parent-q43287	title-q157710	Duchy of Saxe-Meiningen	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	title-q154195	Kingdom of Bavaria	1806..1918	48	fact-q154195-parent-q43287	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q164092-parent-q12548	title-q164092	Duchy of Saxony	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1296	title-q838931	Kingdom of Italy	961..1806	335	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q693980-parent-q12548	title-q693980	Duchy of Swabia	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1313	title-q838931	Kingdom of Italy	961..1806	352	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q152115-parent-q71084	title-q152115	Duchy of Warsaw	Duchy	Kingdom	title-q71084	First French Empire	Empire	1807..1815	title-q223936	Kingdom of Italy	1805..1814	8	fact-q223936-parent-q71084	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q657241-parent-q12548	title-q657241	Duchy of Westphalia	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1180..1803	title-q838931	Kingdom of Italy	961..1806	624	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2227570-parent-q12548	title-q2227570	Duchy of Wurttemberg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1495..1803	title-q42585	Kingdom of Bohemia	1198..1918	309	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q22880-parent-q12548	title-q22880	Electoral Palatinate	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1085..1803	title-q838931	Kingdom of Italy	961..1806	719	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q637238-parent-q12548	title-q637238	Electorate of Baden	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1803..1806	title-q42585	Kingdom of Bohemia	1198..1918	4	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q256961-parent-q12548	title-q256961	Electorate of Bavaria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1623..1805	title-q42585	Kingdom of Bohemia	1198..1918	183	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
